latitude,longitude,district,nearest_meama_m,poi_count_600m,pop_density,metro_dist_m,uni_dist_m,income_idx,score_coverage,score_poi,score_pop,score_metro,score_access,total_score
41.701999999999984,44.73599999999998,Didube,557.0507123129721,3,7936.507936507936,580.2368438910275,553.60985724204,0.9,0.9392969515658077,6.0,8.53228962818004,9.412425555759185,9.532512790449909,58.53362123514619
41.70599999999998,44.731999999999985,Didube,521.4461141877878,3,7936.507936507936,510.34488072325223,510.34488072325223,0.9,0.8766581916297258,6.0,8.53228962818004,9.487519507113282,9.57138990563911,58.497222997558296
41.70599999999998,44.74399999999998,Didube,487.93780475978326,3,7936.507936507936,510.3448807203739,487.7331858204109,0.9,0.8177074082858159,6.0,8.53228962818004,9.487519507116374,9.591708360382269,58.34068910227437
41.70999999999998,44.73599999999998,Didube,406.90249653440475,3,7936.507936507936,372.6155896955752,372.6155896955752,0.9,0.6751429226418817,6.0,8.53228962818004,9.635499850084033,9.69515092304969,58.238408722461465
41.72999999999997,44.76399999999997,Didube,336.43918922076574,3,7936.507936507936,399.5426854046575,545.3175056954877,0.9,0.5511776365964423,6.0,8.53228962818004,9.60656859785363,9.53996414561532,57.66792920854517
41.717999999999975,44.72799999999999,Didube,428.8140643016628,3,7936.507936507936,1478.203391285524,506.29472568824553,0.9,0.7136916917747551,6.0,8.53228962818004,8.447624265719897,9.57502930074572,56.45212003100991
41.72599999999997,44.79199999999995,Chughureti/Central,644.0431467704556,2,8888.888888888889,500.37716989737294,1839.2199134002267,1.0,1.0923417408674265,4.0,10.0,9.498229104582643,8.377287149221306,55.901656028697545
41.72199999999997,44.787999999999954,Chughureti/Central,523.3258298359646,2,8888.888888888889,336.60053235478523,1592.4658416707925,1.0,0.8799651537479405,4.0,10.0,9.67419547174617,8.599015836994054,55.75020450585713
41.70599999999998,44.79599999999995,Chughureti/Central,306.7981069714848,2,8888.888888888889,533.7356478957985,413.9808358776084,1.0,0.499030421544882,4.0,10.0,9.462387788778605,9.657980870733812,55.34865381853636
41.71399999999998,44.79999999999995,Chughureti/Central,327.5518996379367,2,8888.888888888889,486.67387839014265,1292.916598742399,1.0,0.5355423302603343,4.0,10.0,9.51295231822832,8.868185298281247,54.74424076640473
41.72199999999997,44.79599999999995,Chughureti/Central,354.61844255183064,2,8888.888888888889,311.03635114865807,2172.8879136559513,1.0,0.5831601878730519,4.0,10.0,9.701662369124513,8.07745919773128,54.379433315037204
41.733999999999966,44.77999999999996,Saburtalo,331.1556839021578,3,6968.641114982579,352.7631971040982,1064.7638988988742,1.1,0.5418824264634791,6.0,7.0407140470621945,9.656829836193426,9.073199134095816,54.2655192619008
41.74199999999996,44.783999999999956,Saburtalo,489.9967703764434,3,6968.641114982579,397.92732285977416,1942.397124379492,1.1,0.8213297228117422,6.0,7.0407140470621945,9.608304190200258,8.284573997871286,54.24244754573129
41.72999999999997,44.77599999999996,Didube,570.5220749716012,2,7936.507936507936,545.3175056895656,545.3175056895656,0.9,0.9629969649353982,4.0,8.53228962818004,9.449943905013779,9.539964145620642,53.66845015430759
41.717999999999975,44.839999999999925,Chughureti/Central,3111.1290713757444,0,8888.888888888889,2859.8777347206374,3911.4780061125307,1.0,5.432657630115712,0.0,10.0,6.9631132972119,6.515193995486533,53.25783683165152
